respondent_id,h1n1_knowledge,doctor_recc_seasonal,health_worker,health_insurance,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,income_poverty,rent_or_own,employment_industry,seasonal_vaccine
30,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,17.0,0
31,1.0,1.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,15.0,0
32,1.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,0.0,11.0,0
33,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,15.0,0
34,1.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,13.0,0
35,2.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,15.0,0
36,1.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,2.0,1.0,14.0,0
37,1.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,15.0,0
38,2.0,0.0,0.0,1.0,3.0,0.0,4.0,4.0,3.0,2.0,1.0,15.0,0
39,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,11.0,0
40,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,15.0,0
41,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,12.0,0
42,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0
43,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,6.0,0
44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,15.0,0
45,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,11.0,0
46,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0
47,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0
48,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,11.0,0
49,1.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,0.0,15.0,0
50,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,15.0,0
51,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,0
52,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,15.0,0
53,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,15.0,0
54,1.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0,15.0,0
55,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,15.0,0
56,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,10.0,0
57,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0,15.0,0
58,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,15.0,0
59,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,0
60,2.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,6.0,0
61,1.0,0.0,0.0,1.0,3.0,0.0,4.0,2.0,3.0,2.0,0.0,15.0,0
62,1.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,2.0,1.0,15.0,0
63,1.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,3.0,1.0,0.0,15.0,0
64,0.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,11.0,0
65,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,1.0,1.0,7.0,0
66,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,0
67,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,15.0,0
68,2.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,2.0,0.0,0.0,15.0,0
69,1.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,2.0,2.0,0.0,15.0,0
70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,15.0,0
71,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,15.0,0
72,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,4.0,0
73,2.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,15.0,0
74,1.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,15.0,0
75,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,15.0,0
76,1.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,13.0,0
77,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0
78,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,15.0,0
79,1.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0,15.0,0
80,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,2.0,0.0,15.0,0
81,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0
82,1.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,0.0,15.0,0
83,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,15.0,0
84,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0
85,1.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0,2.0,0.0,15.0,0
86,0.0,0.0,0.0,1.0,2.0,0.0,3.0,4.0,3.0,1.0,0.0,15.0,0
87,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,6.0,0
88,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,17.0,0
89,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,14.0,0
90,1.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,15.0,0
91,1.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,2.0,1.0,15.0,0
92,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0
93,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0
94,0.0,0.0,0.0,1.0,4.0,3.0,4.0,1.0,3.0,2.0,0.0,15.0,0
95,1.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,3.0,1.0,1.0,15.0,0
96,1.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,15.0,0
97,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,13.0,0
98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,0
99,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,10.0,0
100,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,8.0,0
101,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,6.0,0
102,1.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,2.0,0.0,15.0,0
103,1.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0,15.0,0
104,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,6.0,0
105,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,15.0,0
106,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,15.0,0
107,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,11.0,0
108,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,15.0,0
109,1.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,15.0,0
110,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,17.0,0
111,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,17.0,0
112,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,15.0,0
113,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,15.0,0
114,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,15.0,0
115,1.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,0.0,8.0,0
116,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0
117,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0
118,2.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,0.0,15.0,0
119,2.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,3.0,1.0,0.0,18.0,0
120,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,15.0,0
121,1.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,2.0,2.0,1.0,15.0,0
122,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,0
123,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,15.0,0
124,2.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0,15.0,0
125,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,17.0,0
126,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,2.0,1.0,15.0,0
127,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,10.0,0
128,1.0,1.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,2.0,0.0,15.0,0
129,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,15.0,0
130,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,15.0,0
131,2.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0,15.0,0
132,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,17.0,0
133,1.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,2.0,0.0,8.0,0
134,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0
135,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,8.0,0
136,2.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0
137,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,3.0,1.0,1.0,15.0,0
138,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,15.0,0
139,2.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,15.0,0
140,2.0,0.0,0.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0
141,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,15.0,0
142,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,12.0,0
143,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,15.0,0
144,1.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,0.0,8.0,0
145,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0
146,1.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,15.0,0
147,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0
148,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,15.0,0
149,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,11.0,0
150,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,0
151,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,0
152,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,15.0,0
153,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,0.0,4.0,0
154,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,15.0,0
155,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,12.0,0
156,1.0,0.0,0.0,1.0,3.0,1.0,3.0,4.0,0.0,2.0,0.0,15.0,0
157,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,0
158,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,0
159,1.0,0.0,0.0,1.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0,15.0,0
160,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,15.0,0
161,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,0.0,10.0,0
162,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,15.0,0
163,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,15.0,0
164,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0
165,1.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,15.0,0
166,1.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,3.0,2.0,1.0,15.0,0
167,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0
168,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,2.0,2.0,0.0,15.0,0
169,1.0,0.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,15.0,0
170,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,19.0,0
171,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0
172,2.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,15.0,0
173,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,15.0,0
174,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,15.0,0
175,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,0
176,2.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,2.0,2.0,0.0,17.0,0
177,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,15.0,0
178,1.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,2.0,1.0,4.0,0
179,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,15.0,0
180,2.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,15.0,0
181,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0
182,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,15.0,0
183,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,19.0,0
184,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,15.0,0
185,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,15.0,0
186,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,15.0,0
187,1.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,0.0,15.0,0
188,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,15.0,0
189,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,15.0,0
190,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,10.0,0
191,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0
192,1.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,1.0,1.0,6.0,0
193,1.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,0.0,2.0,0.0,15.0,0
194,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,15.0,0
195,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,2.0,0.0,17.0,0
196,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0
197,1.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,2.0,1.0,15.0,0
198,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,3.0,2.0,0.0,15.0,0
199,1.0,0.0,0.0,1.0,3.0,1.0,4.0,4.0,0.0,2.0,0.0,15.0,0
200,2.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,4.0,0
201,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,2.0,1.0,15.0,0
202,0.0,0.0,0.0,1.0,4.0,3.0,3.0,4.0,0.0,1.0,0.0,15.0,0
203,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,0.0,15.0,0
204,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,2.0,0.0,11.0,0
205,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,15.0,0
206,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,17.0,0
207,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,13.0,0
208,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,15.0,0
209,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,11.0,0
210,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,14.0,0
211,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,15.0,0
212,2.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,11.0,0
213,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0
214,2.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,18.0,0
215,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,0
216,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,0
217,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,15.0,0
218,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,0
219,2.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,15.0,0
220,2.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,17.0,0
221,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,19.0,0
222,1.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,15.0,0
223,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,0
224,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,11.0,0
225,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,15.0,0
226,1.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,1.0,2.0,0.0,15.0,0
227,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,1.0,4.0,0
228,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0
229,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,9.0,0
230,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,15.0,0
231,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,15.0,0
232,1.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,0
233,2.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,19.0,0
234,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,15.0,0
235,2.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,0.0,10.0,0
236,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,17.0,0
237,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,0
238,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,15.0,0
239,1.0,0.0,0.0,1.0,3.0,1.0,3.0,4.0,2.0,0.0,0.0,15.0,0
240,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,4.0,0
241,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,6.0,0
242,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,13.0,0
243,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,15.0,0
244,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0
245,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,17.0,0
246,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,17.0,0
247,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,17.0,0
248,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,0
249,2.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,10.0,0
250,2.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0
251,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
252,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,15.0,0
253,1.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,2.0,2.0,0.0,15.0,0
254,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,2.0,1.0,15.0,0
255,1.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,0.0,2.0,0.0,15.0,0
256,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,2.0,1.0,11.0,0
257,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,15.0,0
258,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,13.0,0
259,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,2.0,0.0,15.0,0
260,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,3.0,2.0,0.0,15.0,0
261,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,0.0,15.0,0
262,1.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,15.0,0
263,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,11.0,0
